الاسم,خط العرض,خط الطول,التصنيف,الوصف,معرف المكان,سعر الدخول (جنيه)
برج الفردوس,30.0611398,31.1926622,أخرى,"برج الفردوس is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",253,
جمعية فنادق الشباب المصري,30.0275393,31.2243921,إقامة,"جمعية فنادق الشباب المصري is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",254,
تمثال قصر النيل,30.0439664,31.231621,أخرى,"تمثال قصر النيل is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",255,
Carrefour MAADI,29.9822264,31.3161741,أخرى,"Carrefour MAADI is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",256,
عمارة ٥٤,30.060033,31.3622308,أخرى,"عمارة ٥٤ is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",257,
الحى السادس مدينة نصر,30.0506511,31.3119196,أخرى,"الحى السادس مدينة نصر is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",258,
الحى السابع مدينة نصر,30.0521637,31.3270502,أخرى,"الحى السابع مدينة نصر is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",259,
دار الحرب الالكترونية,30.0700302,31.3477733,أخرى,"دار الحرب الالكترونية is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",260,
Cairo Photography Club,29.959,31.257741,أخرى,"Cairo Photography Club is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",261,
Fisher Boats,29.9982082,31.2254095,أخرى,"Fisher Boats is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",262,
Fisher Boats,29.9957645,31.2257365,أخرى,"Fisher Boats is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",263,
دار مناسبات مسجد الشرطة,30.0520993,31.2762919,أخرى,دار مناسبات مسجد الشرطة is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,264,
توتال,29.9952593,31.1632697,أخرى,"توتال is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",265,
توتال,29.9913287,31.1380117,أخرى,"توتال is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",266,
أم كلثوم,30.0640916,31.2157202,ثقافي,"أم كلثوم is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",267,
جامعة القاهرة,30.0287374,31.207713,ثقافي,"جامعة القاهرة is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",268,
العودة,30.066004,31.1743549,ثقافي,"العودة is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",269,
Mogamma Nasr El Din,30.011417,31.205376,أخرى,"Mogamma Nasr El Din is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",270,
Sasa Sakr Quraish,29.9861423,31.291293,أخرى,"Sasa Sakr Quraish is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",271,
Apple,29.9547,31.0038741,ثقافي,"Apple is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",272,
بيت العائلة (شبرا),30.086049,31.2411664,أخرى,"بيت العائلة (شبرا) is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",273,
التبة,30.0608498,31.3779325,أخرى,"التبة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",274,
Tiba Pyramids Hotel,29.9865912,31.1414737,إقامة,"Tiba Pyramids Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",275,
بداية طريق شبرا بنها الجديد,30.1496727,31.2577607,أخرى,"بداية طريق شبرا بنها الجديد is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",276,
Teleperformance - City Walk,30.0164661,31.3882026,أخرى,"Teleperformance - City Walk is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",277,
تحت الكوبري للعبور للجهة المقابلة,30.093321,31.3386382,أخرى,"تحت الكوبري للعبور للجهة المقابلة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",278,
برج النواوى السكنى,30.0858049,31.2906424,أخرى,"برج النواوى السكنى is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",279,
Home,30.0373688,31.1971163,أخرى,"Home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",280,
مكتب المحامي,30.0036873,31.173352,ثقافي,"مكتب المحامي is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",281,
سيراميكا الامل,30.1391423,31.3375209,أخرى,"سيراميكا الامل is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",282,
Main Entrance Gate,30.0169542,31.3897913,أخرى,"Main Entrance Gate is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",283,
مسجد صبحي حسين,30.0000041,31.3308456,أخرى,مسجد صبحي حسين is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,284,
ملعب دار المدفعية,30.0804071,31.3520795,أخرى,"ملعب دار المدفعية is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",285,
فندق ميركور,29.986834,31.1337285,إقامة,"فندق ميركور is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",286,
أبراج الصفا و المروة,29.9901734,31.1621553,أخرى,"أبراج الصفا و المروة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",287,
Cheops Pyramid In,29.9758937,31.141299,إقامة,"Cheops Pyramid In is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",288,
Magic House,29.9807791,31.1380728,أخرى,"Magic House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",289,
اسراء,30.0453697,31.3890265,أخرى,"اسراء is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",290,
الشقة,30.0652102,31.2036454,إقامة,"الشقة is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",291,
شركة سيما للمواد الغذائية,29.9726675,31.1635427,ثقافي,"شركة سيما للمواد الغذائية is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",292,
جولف ريزيدانس,29.893926,31.0627504,أخرى,"جولف ريزيدانس is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",293,
بيروت,30.0932549,31.3278123,إقامة,"بيروت is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",294,
عمارات رسلان,29.9994122,31.1882062,أخرى,"عمارات رسلان is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",295,
Leith ibn saud mosque,30.0076121,31.2577156,أخرى,Leith ibn saud mosque is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,296,
مدينة البعوث الإسلامية,30.0560281,31.2778145,أخرى,"مدينة البعوث الإسلامية is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",297,
كفر سندوة,30.2733884,31.313851,أخرى,"كفر سندوة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",298,
كفر سندوة,30.2737313,31.3141836,أخرى,"كفر سندوة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",299,
شقتي في القاهرة,30.053749,31.1953219,أخرى,"شقتي في القاهرة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",300,
مكتب محمد سمير,30.111492,31.3516642,أخرى,"مكتب محمد سمير is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",301,
نرجس,30.0373982,31.2409102,أخرى,"نرجس is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",302,
My new home,30.0668366,30.9478739,أخرى,"My new home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",303,
حسن ابوريه,29.9991377,31.1882398,أخرى,"حسن ابوريه is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",304,
Awsan,30.0478824,31.1903906,أخرى,"Awsan is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",305,
home,30.0693622,31.2409944,أخرى,"home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",306,
captain ashraf taher home,30.1079842,31.3428974,أخرى,"captain ashraf taher home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",307,
Cairo home,30.0750677,30.9812816,أخرى,"Cairo home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",308,
pyramids family inn,29.9775111,31.1437447,إقامة,"pyramids family inn is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",309,
pyramids Overlook Inn,29.975786,31.1403401,إقامة,"pyramids Overlook Inn is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",310,
Golden Carven Hotel,30.0880091,31.3388201,إقامة,"Golden Carven Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",311,
المنزل - جوي,30.039252,31.2473146,أخرى,"المنزل - جوي is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",312,
مكاني,29.9776815,30.9414733,أخرى,"مكاني is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",313,
Barakat Home (6th of Oct),29.960197,30.9401359,أخرى,"Barakat Home (6th of Oct) is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",314,
اصلاح وصيانة اجهزة اليكترونية,30.100616,31.2605595,ثقافي,"اصلاح وصيانة اجهزة اليكترونية is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",315,
قضل سليمان,29.9541979,31.0977915,أخرى,"قضل سليمان is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",316,
Egypt CC Travel (real),29.9725574,31.1429137,إقامة,"Egypt CC Travel (real) is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",317,
دار المدفعية,30.0805142,31.3537698,أخرى,"دار المدفعية is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",318,
نادى المحامين النهرى,29.9907548,31.2283862,أخرى,"نادى المحامين النهرى is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",319,
برج الفردوس,30.0611441,31.1926456,أخرى,"برج الفردوس is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",320,
هوليداي ان,29.9606675,31.2478985,إقامة,"هوليداي ان is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",321,
Lagoona,29.9568667,31.1536378,إقامة,"Lagoona is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",322,
miraj hall,29.9559813,31.153332,أخرى,"miraj hall is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",323,
ABUSIMBEL PAPYRUS,29.9813351,31.1430577,ثقافي,"ABUSIMBEL PAPYRUS is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",324,
Trio Hotel Caroline Crillon,30.0527729,31.1949468,إقامة,"Trio Hotel Caroline Crillon is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",325,
Best View Pyramids Hotel,29.9734817,31.1420605,إقامة,"Best View Pyramids Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",326,
مقر سناك شوت,29.9964033,31.3127957,ثقافي,"مقر سناك شوت is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",327,
The Square Boutique Hotel,30.0472745,31.238954,إقامة,"The Square Boutique Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",328,
شقة مدام هند,30.0507163,31.2424462,أخرى,"شقة مدام هند is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",329,
مدام البغل,30.0361919,31.2411727,أخرى,"مدام البغل is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",330,
Hayat,29.9753361,31.1413339,إقامة,"Hayat is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",331,
Atlantis Pyramids Inn,29.9759431,31.1401736,إقامة,"Atlantis Pyramids Inn is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",332,
Pyramids plateau inn,29.9760233,31.141815,إقامة,"Pyramids plateau inn is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",333,
ميدان الساعة,30.0107095,31.1760607,أخرى,"ميدان الساعة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",334,
Farida home,29.9945901,30.982463,أخرى,"Farida home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",335,
مقر اكسلوسيف,29.9690249,31.3348687,ثقافي,"مقر اكسلوسيف is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",336,
Hnaton Carpet School,29.8633751,31.2327498,أخرى,"Hnaton Carpet School is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",337,
The Shepherd Hotel,30.0420866,31.231877,إقامة,"The Shepherd Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",338,
مدينة المنفي,29.974924,31.1558991,أخرى,"مدينة المنفي is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",339,
قيس فيصل شقة,30.0186145,31.1813376,أخرى,"قيس فيصل شقة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",340,
قيس عبه,30.0187291,31.1924377,أخرى,"قيس عبه is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",341,
شارع الهرم اختصار,30.0036367,31.1857381,أخرى,"شارع الهرم اختصار is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",342,
اولكر,30.1088902,31.1994124,ثقافي,"اولكر is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",343,
مسجد رامو,29.9820436,30.979335,أخرى,مسجد رامو is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,344,
شغل,30.0000793,31.2648544,ثقافي,"شغل is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",345,
The Guard Hotel,30.0833403,31.3797771,إقامة,"The Guard Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",346,
Le Riad Hotel de Charme,30.0521855,31.2617601,إقامة,"Le Riad Hotel de Charme is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",347,
Dok Dok Boating,30.0367696,31.2289963,أخرى,"Dok Dok Boating is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",348,
Sharia al Muizz Li Din Allah,30.0467278,31.2600713,أخرى,"Sharia al Muizz Li Din Allah is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",349,
مصور احمد سامي,30.0383492,31.1964311,ثقافي,"مصور احمد سامي is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",350,
سيدنا الحسين,30.0465867,31.2614212,ثقافي,"سيدنا الحسين is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",351,
السيدة نفيسه,30.019316,31.2510038,ثقافي,"السيدة نفيسه is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",352,
عمارة البيت,30.1071428,31.3824496,أخرى,"عمارة البيت is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",353,
Le Ciel Hotel,30.0813387,31.323837,إقامة,"Le Ciel Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",354,
عامر جروب,30.1035364,31.3787931,أخرى,"عامر جروب is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",355,
شقة شمر,30.0102194,31.2255497,إقامة,"شقة شمر is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",356,
Villa Belle Epoque,29.9595817,31.2631143,إقامة,"Villa Belle Epoque is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",357,
شقة ولاد العبد,30.0353268,31.3451871,أخرى,"شقة ولاد العبد is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",358,
Sultan Hostel,30.053164,31.2416694,إقامة,"Sultan Hostel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",359,
Venice Hosokawaya,30.0531844,31.2416087,إقامة,"Venice Hosokawaya is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",360,
شقة سيدي الحسين,30.0478967,31.2644001,أخرى,"شقة سيدي الحسين is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",361,
ميدان ابن الحكم,30.1099631,31.3202807,أخرى,"ميدان ابن الحكم is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",362,
Castle Hotel,30.0430704,31.2416318,إقامة,"Castle Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",363,
اسماعيل ابو السعود,30.017301,30.9687471,إقامة,"اسماعيل ابو السعود is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",364,
EGY hawamdya,29.8901274,31.2720231,أخرى,"EGY hawamdya is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",365,
بيت الحوامدية,29.8863551,31.2727844,أخرى,"بيت الحوامدية is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",366,
صبحي,30.0845709,31.1855018,إقامة,"صبحي is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",367,
نهر النيل,29.9570684,31.2501664,إقامة,"نهر النيل is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",368,
شقة د.حسن قظوار مصر,29.9658027,31.1061171,أخرى,"شقة د.حسن قظوار مصر is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",369,
جاردنيا برميدز هوستيل,29.9855962,31.1455764,إقامة,"جاردنيا برميدز هوستيل is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",370,
Houra Mht,29.9993741,31.1510642,أخرى,"Houra Mht is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",371,
nada,30.0191201,31.1854226,إقامة,"nada is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",372,
Masjid AlPasha,30.0211054,31.2252474,أخرى,"Masjid AlPasha is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",373,
Asrama Baharu Wilayah Persekutuan,30.0505473,31.3242076,إقامة,"Asrama Baharu Wilayah Persekutuan is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",374,
Asrama Darul Aman 1,30.0508399,31.324902,إقامة,"Asrama Darul Aman 1 is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",375,
شقة الدقي,30.0420791,31.2120535,أخرى,"شقة الدقي is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",376,
ashraf,30.1294985,31.2741646,أخرى,"ashraf is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",377,
Nema Inn pyramids,29.9757572,31.1416903,إقامة,"Nema Inn pyramids is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",378,
Crown Hotel,30.0485916,31.2432594,إقامة,"Crown Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",379,
فندق نيو وان سيزون,30.0495905,31.2400194,إقامة,"فندق نيو وان سيزون is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",380,
Limitless Hostel,30.0485859,31.2438134,إقامة,"Limitless Hostel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",381,
new home,30.0041448,31.0488784,أخرى,"new home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",382,
Sinnari House,30.0329709,31.2427314,أخرى,"Sinnari House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",383,
Sinnari House,30.0480594,31.2374762,أخرى,"Sinnari House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",384,
Dahab Hostel,30.0481266,31.2373954,إقامة,"Dahab Hostel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",385,
عمارة سكن,30.0392988,31.3358721,أخرى,"عمارة سكن is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",386,
Zamalek tree,30.0466497,31.2250489,أخرى,"Zamalek tree is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",387,
جاردنيا هوستيل,30.0508193,31.240519,إقامة,"جاردنيا هوستيل is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",388,
32 ريينا أب تاون كايرو د/وائل حبيب,30.024972,31.3133971,أخرى,"32 ريينا أب تاون كايرو د/وائل حبيب is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",389,
بيت حمادة,30.0980469,31.3318648,أخرى,"بيت حمادة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",390,
منزل ابو حسونة,30.1608334,31.2314892,إقامة,"منزل ابو حسونة is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",391,
عامر جروب,30.1037805,31.3784595,أخرى,"عامر جروب is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",392,
Anubieion,29.8751644,31.2230149,أخرى,"Anubieion is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",393,
المنزل,29.9521168,30.9408647,أخرى,"المنزل is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",394,
Cosmopolitan Hotel,30.047706,31.2403433,إقامة,"Cosmopolitan Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",395,
"Marriott Mena House, Cairo",29.9858579,31.1327491,إقامة,"Marriott Mena House, Cairo is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",396,
menna,30.0374561,31.1913346,أخرى,"menna is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",397,
nasr city h,30.0459416,31.3275669,أخرى,"nasr city h is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",398,
apartamento,30.1406644,31.3609787,أخرى,"apartamento is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",399,
apartamento verdadero,30.1390253,31.3617387,أخرى,"apartamento verdadero is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",400,
منزل عبدالباسط محمود حسن,30.1464667,31.2324835,أخرى,"منزل عبدالباسط محمود حسن is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",401,
Bubasteion,29.8735271,31.2239814,تاريخي,Bubasteion is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,402,
جوهرة الهرم,29.9913412,31.154173,إقامة,"جوهرة الهرم is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",403,
البيت,29.990257,31.1868175,أخرى,"البيت is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",404,
شقة مصر نصر,30.0457664,31.3464302,أخرى,"شقة مصر نصر is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",405,
لوحة أبي الهول,29.9752684,31.1378372,أخرى,"لوحة أبي الهول is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",406,
بيت دكتوره,29.9758687,31.1038223,إقامة,"بيت دكتوره is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",407,
م. فياض,30.0637863,31.3518583,أخرى,"م. فياض is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",408,
قهوة شيشة مهندسين,30.0617966,31.2040796,أخرى,"قهوة شيشة مهندسين is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",409,
Tomb of Meresankh III,29.9778003,31.1377395,أخرى,Tomb of Meresankh III is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,410,
Horus Guest House Pyramids,29.97422,31.1421914,إقامة,"Horus Guest House Pyramids is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",411,
ا,30.0669712,31.3812045,إقامة,"ا is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",412,
عماره 4078,30.037036,31.3983811,أخرى,"عماره 4078 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",413,
Shahbor Studio,29.97128,31.1425487,أخرى,"Shahbor Studio is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",414,
شقة د أمل بدران,30.012333,31.2246473,أخرى,"شقة د أمل بدران is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",415,
منزل ابو دعاء المصري,30.0093403,31.3381087,أخرى,"منزل ابو دعاء المصري is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",416,
مربع 1174,30.095101,31.3794923,أخرى,"مربع 1174 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",417,
Photo point of Pyramids,29.974455,31.1239021,أخرى,Photo point of Pyramids is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,418,
Panorama point II.,29.9664651,31.1279181,أخرى,"Panorama point II. is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",419,
Anubis Kingdom Pyramids Hotel,29.9738329,31.1408581,أخرى,Anubis Kingdom Pyramids Hotel is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,420,
Royal pyramids Inn,29.9740365,31.1414565,إقامة,"Royal pyramids Inn is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",421,
Pyramids View apartment,29.9742409,31.1415906,إقامة,"Pyramids View apartment is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",422,
Pyramids View apartment,29.9739005,31.1421593,أخرى,Pyramids View apartment is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,423,
Gardenia Pyramids Hostel,29.9852361,31.1445437,إقامة,"Gardenia Pyramids Hostel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",424,
Pyramids Inn,29.9727205,31.1438038,إقامة,"Pyramids Inn is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",425,
مسلسل 11,29.9814482,31.4109268,أخرى,"مسلسل 11 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",426,
